rec_id_jahr_wk,UUID,jahr,Nr,Gebiet,gehört zu,Kategorie,Name_Kategorie,Erst-Stimmen,Zweit-Stimmen
2017-001,2017-00000,2017,001,Flensburg – Schleswig,BL-01,Statistik,Wahlberechtigte,228471,228471
,2017-00001,2017,001,Flensburg – Schleswig,BL-01,Statistik,Wähler,171914,171914
,2017-00002,2017,001,Flensburg – Schleswig,BL-01,Statistik,Ungültige,1596,1449
,2017-00003,2017,001,Flensburg – Schleswig,BL-01,Statistik,Gültige,170318,170465
,2017-00004,2017,001,Flensburg – Schleswig,BL-01,Organisation,Christlich Demokratische Union Deutschlands,68120,58320
,2017-00005,2017,001,Flensburg – Schleswig,BL-01,Organisation,Sozialdemokratische Partei Deutschlands,47711,40388
,2017-00006,2017,001,Flensburg – Schleswig,BL-01,Organisation,DIE LINKE,12144,14002
,2017-00007,2017,001,Flensburg – Schleswig,BL-01,Organisation,BÜNDNIS 90/DIE GRÜNEN,17911,22304
,2017-00008,2017,001,Flensburg – Schleswig,BL-01,Organisation,Christlich-Soziale Union in Bayern e.V.,0,0
,2017-00009,2017,001,Flensburg – Schleswig,BL-01,Organisation,Freie Demokratische Partei,11147,18955
,2017-00010,2017,001,Flensburg – Schleswig,BL-01,Organisation,Alternative für Deutschland,10583,11653
,2017-00011,2017,001,Flensburg – Schleswig,BL-01,Organisation,Piratenpartei Deutschland,0,0
,2017-00012,2017,001,Flensburg – Schleswig,BL-01,Organisation,Nationaldemokratische Partei Deutschlands,0,349
,2017-00013,2017,001,Flensburg – Schleswig,BL-01,Organisation,FREIE WÄHLER,1947,1195
,2017-00014,2017,001,Flensburg – Schleswig,BL-01,Organisation,PARTEI MENSCH UMWELT TIERSCHUTZ,0,0
,2017-00015,2017,001,Flensburg – Schleswig,BL-01,Organisation,Ökologisch-Demokratische Partei,0,0
,2017-00016,2017,001,Flensburg – Schleswig,BL-01,Organisation,"Partei für Arbeit, Rechtsstaat, Tierschutz, Elitenförderung und basisdemokratische Initiative",0,2100
,2017-00017,2017,001,Flensburg – Schleswig,BL-01,Organisation,Bayernpartei,0,0
,2017-00018,2017,001,Flensburg – Schleswig,BL-01,Organisation,Ab jetzt...Demokratie durch Volksabstimmung,0,0
,2017-00019,2017,001,Flensburg – Schleswig,BL-01,Organisation,Partei der Vernunft,0,0
,2017-00020,2017,001,Flensburg – Schleswig,BL-01,Organisation,Marxistisch-Leninistische Partei Deutschlands,0,59
,2017-00021,2017,001,Flensburg – Schleswig,BL-01,Organisation,Bürgerrechtsbewegung Solidarität,0,0
,2017-00022,2017,001,Flensburg – Schleswig,BL-01,Organisation,"Sozialistische Gleichheitspartei, Vierte Internationale",0,0
,2017-00023,2017,001,Flensburg – Schleswig,BL-01,Organisation,DIE RECHTE,0,0
,2017-00024,2017,001,Flensburg – Schleswig,BL-01,Organisation,Allianz Deutscher Demokraten,0,0
,2017-00025,2017,001,Flensburg – Schleswig,BL-01,Organisation,"Allianz für Menschenrechte, Tier- und Naturschutz",0,0
,2017-00026,2017,001,Flensburg – Schleswig,BL-01,Organisation,"bergpartei, die überpartei",0,0
,2017-00027,2017,001,Flensburg – Schleswig,BL-01,Organisation,Bündnis Grundeinkommen,0,843
,2017-00028,2017,001,Flensburg – Schleswig,BL-01,Organisation,DEMOKRATIE IN BEWEGUNG,0,0
,2017-00029,2017,001,Flensburg – Schleswig,BL-01,Organisation,Deutsche Kommunistische Partei,0,0
,2017-00030,2017,001,Flensburg – Schleswig,BL-01,Organisation,Deutsche Mitte,0,0
,2017-00031,2017,001,Flensburg – Schleswig,BL-01,Organisation,Die Grauen – Für alle Generationen,0,0
,2017-00032,2017,001,Flensburg – Schleswig,BL-01,Organisation,Die Urbane. Eine HipHop Partei,0,0
,2017-00033,2017,001,Flensburg – Schleswig,BL-01,Organisation,Magdeburger Gartenpartei,0,0
,2017-00034,2017,001,Flensburg – Schleswig,BL-01,Organisation,Menschliche Welt,0,0
,2017-00035,2017,001,Flensburg – Schleswig,BL-01,Organisation,Partei der Humanisten,0,0
,2017-00036,2017,001,Flensburg – Schleswig,BL-01,Organisation,Partei für Gesundheitsforschung,0,0
,2017-00037,2017,001,Flensburg – Schleswig,BL-01,Organisation,"V-Partei³ - Partei für Veränderung, Vegetarier und Veganer",0,0
,2017-00038,2017,001,Flensburg – Schleswig,BL-01,Organisation,Bündnis C - Christen für Deutschland,0,0
,2017-00039,2017,001,Flensburg – Schleswig,BL-01,Organisation,DIE EINHEIT,0,0
,2017-00040,2017,001,Flensburg – Schleswig,BL-01,Organisation,Die Violetten,0,0
,2017-00041,2017,001,Flensburg – Schleswig,BL-01,Organisation,Familien-Partei Deutschlands,0,0
,2017-00042,2017,001,Flensburg – Schleswig,BL-01,Organisation,Feministische Partei DIE FRAUEN,0,0
,2017-00043,2017,001,Flensburg – Schleswig,BL-01,Organisation,Mieterpartei,0,0
,2017-00044,2017,001,Flensburg – Schleswig,BL-01,Organisation,Neue Liberale – Die Sozialliberalen,0,0
,2017-00045,2017,001,Flensburg – Schleswig,BL-01,Organisation,UNABHÄNGIGE für bürgernahe Demokratie,0,0
,2017-00046,2017,001,Flensburg – Schleswig,BL-01,Organisation,Übrige,755,0
2017-002,2017-00047,2017,002,Nordfriesland – Dithmarschen Nord,BL-01,Statistik,Wahlberechtigte,186568,186568
,2017-00048,2017,002,Nordfriesland – Dithmarschen Nord,BL-01,Statistik,Wähler,139194,139194
,2017-00049,2017,002,Nordfriesland – Dithmarschen Nord,BL-01,Statistik,Ungültige,1297,1123
,2017-00050,2017,002,Nordfriesland – Dithmarschen Nord,BL-01,Statistik,Gültige,137897,138071
,2017-00051,2017,002,Nordfriesland – Dithmarschen Nord,BL-01,Organisation,Christlich Demokratische Union Deutschlands,62256,52928
,2017-00052,2017,002,Nordfriesland – Dithmarschen Nord,BL-01,Organisation,Sozialdemokratische Partei Deutschlands,34685,31120
,2017-00053,2017,002,Nordfriesland – Dithmarschen Nord,BL-01,Organisation,DIE LINKE,7102,8589
,2017-00054,2017,002,Nordfriesland – Dithmarschen Nord,BL-01,Organisation,BÜNDNIS 90/DIE GRÜNEN,13026,15144
,2017-00055,2017,002,Nordfriesland – Dithmarschen Nord,BL-01,Organisation,Christlich-Soziale Union in Bayern e.V.,0,0
,2017-00056,2017,002,Nordfriesland – Dithmarschen Nord,BL-01,Organisation,Freie Demokratische Partei,11105,18050
,2017-00057,2017,002,Nordfriesland – Dithmarschen Nord,BL-01,Organisation,Alternative für Deutschland,8117,9030
,2017-00058,2017,002,Nordfriesland – Dithmarschen Nord,BL-01,Organisation,Piratenpartei Deutschland,0,0
,2017-00059,2017,002,Nordfriesland – Dithmarschen Nord,BL-01,Organisation,Nationaldemokratische Partei Deutschlands,0,301
,2017-00060,2017,002,Nordfriesland – Dithmarschen Nord,BL-01,Organisation,FREIE WÄHLER,1606,867
,2017-00061,2017,002,Nordfriesland – Dithmarschen Nord,BL-01,Organisation,PARTEI MENSCH UMWELT TIERSCHUTZ,0,0
,2017-00062,2017,002,Nordfriesland – Dithmarschen Nord,BL-01,Organisation,Ökologisch-Demokratische Partei,0,0
,2017-00063,2017,002,Nordfriesland – Dithmarschen Nord,BL-01,Organisation,"Partei für Arbeit, Rechtsstaat, Tierschutz, Elitenförderung und basisdemokratische Initiative",0,1376
,2017-00064,2017,002,Nordfriesland – Dithmarschen Nord,BL-01,Organisation,Bayernpartei,0,0
,2017-00065,2017,002,Nordfriesland – Dithmarschen Nord,BL-01,Organisation,Ab jetzt...Demokratie durch Volksabstimmung,0,0
,2017-00066,2017,002,Nordfriesland – Dithmarschen Nord,BL-01,Organisation,Partei der Vernunft,0,0
,2017-00067,2017,002,Nordfriesland – Dithmarschen Nord,BL-01,Organisation,Marxistisch-Leninistische Partei Deutschlands,0,63
,2017-00068,2017,002,Nordfriesland – Dithmarschen Nord,BL-01,Organisation,Bürgerrechtsbewegung Solidarität,0,0
,2017-00069,2017,002,Nordfriesland – Dithmarschen Nord,BL-01,Organisation,"Sozialistische Gleichheitspartei, Vierte Internationale",0,0
,2017-00070,2017,002,Nordfriesland – Dithmarschen Nord,BL-01,Organisation,DIE RECHTE,0,0
,2017-00071,2017,002,Nordfriesland – Dithmarschen Nord,BL-01,Organisation,Allianz Deutscher Demokraten,0,0
,2017-00072,2017,002,Nordfriesland – Dithmarschen Nord,BL-01,Organisation,"Allianz für Menschenrechte, Tier- und Naturschutz",0,0
,2017-00073,2017,002,Nordfriesland – Dithmarschen Nord,BL-01,Organisation,"bergpartei, die überpartei",0,0
,2017-00074,2017,002,Nordfriesland – Dithmarschen Nord,BL-01,Organisation,Bündnis Grundeinkommen,0,430
,2017-00075,2017,002,Nordfriesland – Dithmarschen Nord,BL-01,Organisation,DEMOKRATIE IN BEWEGUNG,0,0
,2017-00076,2017,002,Nordfriesland – Dithmarschen Nord,BL-01,Organisation,Deutsche Kommunistische Partei,0,0
,2017-00077,2017,002,Nordfriesland – Dithmarschen Nord,BL-01,Organisation,Deutsche Mitte,0,0
,2017-00078,2017,002,Nordfriesland – Dithmarschen Nord,BL-01,Organisation,Die Grauen – Für alle Generationen,0,0
,2017-00079,2017,002,Nordfriesland – Dithmarschen Nord,BL-01,Organisation,Die Urbane. Eine HipHop Partei,0,0
,2017-00080,2017,002,Nordfriesland – Dithmarschen Nord,BL-01,Organisation,Magdeburger Gartenpartei,0,0
,2017-00081,2017,002,Nordfriesland – Dithmarschen Nord,BL-01,Organisation,Menschliche Welt,0,0
,2017-00082,2017,002,Nordfriesland – Dithmarschen Nord,BL-01,Organisation,Partei der Humanisten,0,0
,2017-00083,2017,002,Nordfriesland – Dithmarschen Nord,BL-01,Organisation,Partei für Gesundheitsforschung,0,0
,2017-00084,2017,002,Nordfriesland – Dithmarschen Nord,BL-01,Organisation,"V-Partei³ - Partei für Veränderung, Vegetarier und Veganer",0,0
,2017-00085,2017,002,Nordfriesland – Dithmarschen Nord,BL-01,Organisation,Bündnis C - Christen für Deutschland,0,0
,2017-00086,2017,002,Nordfriesland – Dithmarschen Nord,BL-01,Organisation,DIE EINHEIT,0,0
,2017-00087,2017,002,Nordfriesland – Dithmarschen Nord,BL-01,Organisation,Die Violetten,0,0
,2017-00088,2017,002,Nordfriesland – Dithmarschen Nord,BL-01,Organisation,Familien-Partei Deutschlands,0,0
,2017-00089,2017,002,Nordfriesland – Dithmarschen Nord,BL-01,Organisation,Feministische Partei DIE FRAUEN,0,0
,2017-00090,2017,002,Nordfriesland – Dithmarschen Nord,BL-01,Organisation,Mieterpartei,0,0
,2017-00091,2017,002,Nordfriesland – Dithmarschen Nord,BL-01,Organisation,Neue Liberale – Die Sozialliberalen,0,0
,2017-00092,2017,002,Nordfriesland – Dithmarschen Nord,BL-01,Organisation,UNABHÄNGIGE für bürgernahe Demokratie,0,0
,2017-00093,2017,002,Nordfriesland – Dithmarschen Nord,BL-01,Organisation,Übrige,0,0
2017-003,2017-00094,2017,003,Steinburg – Dithmarschen Süd,BL-01,Statistik,Wahlberechtigte,176636,176636
,2017-00095,2017,003,Steinburg – Dithmarschen Süd,BL-01,Statistik,Wähler,132017,132017
,2017-00096,2017,003,Steinburg – Dithmarschen Süd,BL-01,Statistik,Ungültige,1134,1139
,2017-00097,2017,003,Steinburg – Dithmarschen Süd,BL-01,Statistik,Gültige,130883,130878
,2017-00098,2017,003,Steinburg – Dithmarschen Süd,BL-01,Organisation,Christlich Demokratische Union Deutschlands,54812,47366
,2017-00099,2017,003,Steinburg – Dithmarschen Süd,BL-01,Organisation,Sozialdemokratische Partei Deutschlands,34219,29756
,2017-00100,2017,003,Steinburg – Dithmarschen Süd,BL-01,Organisation,DIE LINKE,7176,8732
,2017-00101,2017,003,Steinburg – Dithmarschen Süd,BL-01,Organisation,BÜNDNIS 90/DIE GRÜNEN,8791,12960
,2017-00102,2017,003,Steinburg – Dithmarschen Süd,BL-01,Organisation,Christlich-Soziale Union in Bayern e.V.,0,0
,2017-00103,2017,003,Steinburg – Dithmarschen Süd,BL-01,Organisation,Freie Demokratische Partei,14440,17298
,2017-00104,2017,003,Steinburg – Dithmarschen Süd,BL-01,Organisation,Alternative für Deutschland,10006,11180
,2017-00105,2017,003,Steinburg – Dithmarschen Süd,BL-01,Organisation,Piratenpartei Deutschland,0,0
,2017-00106,2017,003,Steinburg – Dithmarschen Süd,BL-01,Organisation,Nationaldemokratische Partei Deutschlands,0,471
,2017-00107,2017,003,Steinburg – Dithmarschen Süd,BL-01,Organisation,FREIE WÄHLER,1278,1002
,2017-00108,2017,003,Steinburg – Dithmarschen Süd,BL-01,Organisation,PARTEI MENSCH UMWELT TIERSCHUTZ,0,0
,2017-00109,2017,003,Steinburg – Dithmarschen Süd,BL-01,Organisation,Ökologisch-Demokratische Partei,0,0
,2017-00110,2017,003,Steinburg – Dithmarschen Süd,BL-01,Organisation,"Partei für Arbeit, Rechtsstaat, Tierschutz, Elitenförderung und basisdemokratische Initiative",0,1445
,2017-00111,2017,003,Steinburg – Dithmarschen Süd,BL-01,Organisation,Bayernpartei,0,0
,2017-00112,2017,003,Steinburg – Dithmarschen Süd,BL-01,Organisation,Ab jetzt...Demokratie durch Volksabstimmung,0,0
,2017-00113,2017,003,Steinburg – Dithmarschen Süd,BL-01,Organisation,Partei der Vernunft,0,0
,2017-00114,2017,003,Steinburg – Dithmarschen Süd,BL-01,Organisation,Marxistisch-Leninistische Partei Deutschlands,161,62
,2017-00115,2017,003,Steinburg – Dithmarschen Süd,BL-01,Organisation,Bürgerrechtsbewegung Solidarität,0,0
,2017-00116,2017,003,Steinburg – Dithmarschen Süd,BL-01,Organisation,"Sozialistische Gleichheitspartei, Vierte Internationale",0,0
,2017-00117,2017,003,Steinburg – Dithmarschen Süd,BL-01,Organisation,DIE RECHTE,0,0
,2017-00118,2017,003,Steinburg – Dithmarschen Süd,BL-01,Organisation,Allianz Deutscher Demokraten,0,0
