UUID;Jahr;Wahlkreis-Nr;Gebiet;Bundesland;Kategorie;Parteiname;Erst-Stimmen
2017-00005;2017;1;Flensburg – Schleswig;BL-01;Organisation;Sozialdemokratische Partei Deutschlands;47711
2017-00009;2017;1;Flensburg – Schleswig;BL-01;Organisation;Freie Demokratische Partei;11147
2017-00006;2017;1;Flensburg – Schleswig;BL-01;Organisation;DIE LINKE;12144
2017-00008;2017;1;Flensburg – Schleswig;BL-01;Organisation;Christlich-Soziale Union in Bayern e.V.;0
2017-00004;2017;1;Flensburg – Schleswig;BL-01;Organisation;Christlich Demokratische Union Deutschlands;68120
2017-00007;2017;1;Flensburg – Schleswig;BL-01;Organisation;BÜNDNIS 90/DIE GRÜNEN;17911
2017-00010;2017;1;Flensburg – Schleswig;BL-01;Organisation;Alternative für Deutschland;10583
2017-00052;2017;2;Nordfriesland – Dithmarschen Nord;BL-01;Organisation;Sozialdemokratische Partei Deutschlands;34685
2017-00056;2017;2;Nordfriesland – Dithmarschen Nord;BL-01;Organisation;Freie Demokratische Partei;11105
2017-00053;2017;2;Nordfriesland – Dithmarschen Nord;BL-01;Organisation;DIE LINKE;7102
2017-00055;2017;2;Nordfriesland – Dithmarschen Nord;BL-01;Organisation;Christlich-Soziale Union in Bayern e.V.;0
2017-00051;2017;2;Nordfriesland – Dithmarschen Nord;BL-01;Organisation;Christlich Demokratische Union Deutschlands;62256
2017-00054;2017;2;Nordfriesland – Dithmarschen Nord;BL-01;Organisation;BÜNDNIS 90/DIE GRÜNEN;13026
2017-00057;2017;2;Nordfriesland – Dithmarschen Nord;BL-01;Organisation;Alternative für Deutschland;8117
2017-00099;2017;3;Steinburg – Dithmarschen Süd;BL-01;Organisation;Sozialdemokratische Partei Deutschlands;34219
2017-00103;2017;3;Steinburg – Dithmarschen Süd;BL-01;Organisation;Freie Demokratische Partei;14440
2017-00100;2017;3;Steinburg – Dithmarschen Süd;BL-01;Organisation;DIE LINKE;7176
2017-00102;2017;3;Steinburg – Dithmarschen Süd;BL-01;Organisation;Christlich-Soziale Union in Bayern e.V.;0
2017-00098;2017;3;Steinburg – Dithmarschen Süd;BL-01;Organisation;Christlich Demokratische Union Deutschlands;54812
2017-00101;2017;3;Steinburg – Dithmarschen Süd;BL-01;Organisation;BÜNDNIS 90/DIE GRÜNEN;8791
2017-00104;2017;3;Steinburg – Dithmarschen Süd;BL-01;Organisation;Alternative für Deutschland;10006
2017-00146;2017;4;Rendsburg-Eckernförde;BL-01;Organisation;Sozialdemokratische Partei Deutschlands;45070
2017-00150;2017;4;Rendsburg-Eckernförde;BL-01;Organisation;Freie Demokratische Partei;10077
2017-00147;2017;4;Rendsburg-Eckernförde;BL-01;Organisation;DIE LINKE;8074
2017-00149;2017;4;Rendsburg-Eckernförde;BL-01;Organisation;Christlich-Soziale Union in Bayern e.V.;0
2017-00145;2017;4;Rendsburg-Eckernförde;BL-01;Organisation;Christlich Demokratische Union Deutschlands;66625
